Protein_IDs,Function_or_Complex,Source
Q00325,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187), Seifert et al, Biochem Biophys Res Commun, 2015 (PMID: 26091567)"
Q9H936,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187), Fiermonte et al, JBC, 2002 (PMID: 11897791), Casimir et al, JBC, 2009 (PMID: 19584051)"
Q9HC21-2;Q9HC21,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187), Nabokina et al, Gene, 2013 (PMID: 23872534)"
O75746;O75746-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q96H78,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q8TBP6,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q70HW3-2;Q70HW3,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q6NUK1;Q6NUK1-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q00325-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187), Seifert et al, Biochem Biophys Res Commun, 2015 (PMID: 26091567)"
Q86VD7,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q96AG3;Q96AG3-3;Q96AG3-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q9Y619,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q9UBX3;Q9UBX3-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q3KQZ1-3;Q3KQZ1-2;Q3KQZ1;Q3KQZ1-4,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
P12235,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q5SVS4;Q5SVS4-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q8N8R3;Q8N8R3-3,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
P05141,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
P12236,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q9BSK2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q9H2D1,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
P53007,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q9UJS0;Q9UJS0-2,SLC25 family,"Palmieri, Mol Aspects Med, 2013 (PMID: 23266187)"
Q02978;Q02978-2,"SLC25 family, aKG-glutamate metabolism",
O43772,"SLC25 family, Carnitine shuttle","Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213)"
P36957,TCA,
P53597,TCA,
Q99798,TCA,
P09622;P09622-2;P09622-3,TCA,
Q96I99;Q96I99-2,TCA,
Q02218;Q02218-2,TCA,
P07954-2;P07954,TCA,
P40926;P40926-2,TCA,
O43837;O43837-2,TCA,
O75390,TCA,
P51553,TCA,
P50213,TCA,
Q9Y584,Tim22,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9Y5J6,Tim22,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q99595,Tim23,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O60830,Tim23,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9BVV7,Tim23,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q3ZCQ8-2;Q3ZCQ8;Q3ZCQ8-3,Tim23,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O14925,Tim23,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O60220,Tim8-Tim13 complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9Y5L4,Tim8-Tim13 complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9Y5J9,Tim8-Tim13 complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9Y5J7,Tim9-Tim10 complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
P62072,Tim9-Tim10 complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
P49755,TMEDs,
Q15363,TMEDs,
Q9BVK6,TMEDs,
Q9Y3A6;Q9Y3A6-2,TMEDs,
Q7Z7H5;Q7Z7H5-3,TMEDs,
Q9Y3B3;Q86XR7-2;Q9Y3B3-2,TMEDs,
Q13445,TMEDs,
Q9Y3Q3,TMEDs,
Q6PL24,TMEDs,
P17152,TMEM11,"Rival et al, EMBO Rep, 2011 (PMID: 21274005), Macchi et al, J Cell Sci, 2013 (PMID: 23264743)"
Q9H061;Q9H061-2,TMEM126A,
Q8N2U0,TMEM256,
Q9P0U1,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q96B49,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q8N4H5;Q8N4H5-3;Q8N4H5-2,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O94826,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q969M1;Q969M1-2,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9NS69,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q15388,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O96008;O96008-2,TOM complex,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
P45880;P45880-2,VDAC,"Lemasters and Holmuhamedov, Biochim Biophys Acta, 2006 (PMID: 16307870)"
Q9Y277;Q9Y277-2,VDAC,"Lemasters and Holmuhamedov, Biochim Biophys Acta, 2006 (PMID: 16307870)"
P21796,VDAC,"Lemasters and Holmuhamedov, Biochim Biophys Acta, 2006 (PMID: 16307870)"
