Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
304,60,0.3001,531.2,2490,0.1691,1.00000,"Q14814-4;Q14814;Q14814-6;Q14814-5;Q14814-3;Q14814-2 Q9UKI8;Q9UKI8-2;Q9UKI8-5;Q9UKI8-4;Q9UKI8-3 Q92610 Q96ES7 Q16594 Q12830;Q12830-4;Q12830-2 Q9NPF5 O14979-3;O14979-2 Q9UBD5-2 Q96PV6-2 Q9ULM3 Q96CB8 Q7LBC6 O95104;O95104-2;O95104-3 Q8WXA9-2;Q8WXA9 Q13427;Q13427-2 P57081;P57081-2 Q9H7L9 Q68E01-2;Q68E01;Q68E01-3 Q9UHR5-2;Q9UHR5 Q86UE8-2;Q86UE8;Q86UE8-3 Q15047-3;Q15047 Q9NVR2 Q9NVM6 O95619 Q8IWZ8 P22670 Q92541 Q9H7E9;Q9H7E9-2 Q96GM8;Q96GM8-2 Q71SY5-4 Q9UMZ2-5;Q9UMZ2;Q9UMZ2-4;Q9UMZ2-8;Q9UMZ2-3;Q9UMZ2-7;Q9UMZ2-6;Q9UMZ2-9 O60563 Q13416 P54278;P54278-3 Q9UBB9 P04049-2;P04049 Q86U86-8;Q86U86;Q86U86-5;Q86U86-7;Q86U86-2;Q86U86-4;Q86U86-9;Q86U86-6 Q9H0E3;Q9H0E3-3;Q9H0E3-2 Q9Y6X3 Q6ZW49;Q6ZW49-2 P28715 Q13428-3;Q13428-8;Q13428-5 Q9HCK8;Q9HCK8-2 P35251-2;P35251 Q96LR5 Q96MG7 Q99575 Q66PJ3;Q66PJ3-3;Q66PJ3-2;Q66PJ3-4;Q66PJ3-5 O43166-3;O43166-2;O43166 Q14119 Q9NWB6 Q15022 Q96RL1;Q96RL1-3;Q96RL1-2 Q96RU2-2;Q96RU2;Q96RU2-3 O15047 Q15345 Q9BTC0 O75676-2;O75676 P41229-5;P41229"
305,5,0.3050,3.050,22.16,0.08661,0.996692,"Q8IUR0 Q9H871 O00399 Q9Y217;Q9Y217-2 O15084;O15084-4;O15084-1;O15084-2"
306,4,0.3428,2.057,16.29,0.07807,0.903035,"Q9UI30;Q9UI30-2 P62487 P36954 O60869"
307,4,0.3473,2.084,20.69,0.06771,0.903035,"P68400;Q8NEV1;P68400-2 P11142;P11142-2 Q9Y3F4;Q9Y3F4-2 O60684"
308,36,0.3006,189.4,425.0,0.2759,0.0928647,"Q9Y5J1 Q9H8H0 Q9H583 Q9UNX4 O15213 Q8NEJ9-2;Q8NEJ9 Q76FK4-4;Q76FK4;Q76FK4-2 Q9NQ55-2;Q9NQ55;Q9NQ55-3 Q9H6R4-4;Q9H6R4;Q9H6R4-2;Q9H6R4-3 Q12788 Q9NV31 Q9BXY0 P78316;P78316-2 Q9Y6V7 Q14146 Q9NYH9 Q9NQZ2 Q5JTH9;Q5JTH9-3;Q5JTH9-2 P56182 Q9H0A0;Q9H0A0-2 Q9H501 Q14978-2;Q14978 Q8IY81 O60287 Q9Y2P8 Q14692 Q8N8A6 Q9BQG0;Q9BQG0-2 Q9BSC4;Q9BSC4-2;Q9BSC4-4 Q14137;Q14137-2 O75691 Q9BVI4 Q14690 Q96G21 Q9NY61 Q9Y3A4"
309,12,0.2768,18.27,25.09,0.2712,0.0630111,"P61106 P51149 P62820;P62820-2;P62820-3 P51148;P51148-2 P84077 P61019;P61019-2 Q9H0U4 Q15907;P62491-2 Q9NR31;Q9NR31-2 P20339;P20339-2 P20340-2;P20340-4 P61026"
310,20,0.3011,57.22,153.7,0.2281,0.377871,"Q6NZI2;Q6NZI2-2 P40261 Q05682-5 Q05682 P00533 Q02952;Q02952-3 Q14192 Q8WTS6 Q9BYN0 Q99584 Q9H6S3;Q9H6S3-3 Q9Y6M5 Q9P0K7;Q9P0K7-3;Q9P0K7-2 P15144 O00592-2;O00592 Q06481;Q06481-3;Q06481-6;Q06481-2;Q06481-4;Q06481-5 P16144-3 Q9NRV9 O14639-6 P17252"
311,6,0.3086,4.629,45.88,0.07405,0.977336,"O15511;O15511-2 P14317 Q96FZ7 Q9C0I1;Q9C0I1-3;Q9C0I1-2 Q15438-2;Q15438;Q15438-3 P42892-2"
312,5,0.3155,3.155,9.640,0.1384,0.417266,"Q92930 P51809;P51809-3 Q5JSH3;Q5JSH3-2;Q5JSH3-4 Q8IUI8-2 O60234"
313,5,0.3076,3.076,28.48,0.07402,0.969949,"Q9NRY4 Q9BVL4 Q9Y3E7;Q9Y3E7-4;Q9Y3E7-3 Q96ME1-4;Q96ME1-2;Q96ME1 Q8TBB5;Q8TBB5-3;Q8TBB5-2"
