Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
480,54,0.3001,429.4,3639,0.1028,1.00000,"Q13588 Q8NC44 P62913-2 Q14814-4;Q14814;Q14814-6;Q14814-5;Q14814-3;Q14814-2 Q13905-3;Q13905;Q13905-4;Q13905-2 Q96HR3-2;Q96HR3 Q9P2A4 Q9UPR3 Q92540-2;Q92540;Q92540-4;Q92540-5 Q96BP2 Q9P2Y5 Q9UMR2;Q9UMR2-3 Q9BQ48 Q8TAQ2 Q9UM13 Q15027 Q8N8A2;Q8N8A2-4;Q8N8A2-3 O14979-3;O14979-2 Q13951 Q86US8 Q9HB19 Q96PV6-2 Q9Y4Y9;Q9Y4Y9-2 P61599 Q9BUE0 Q86YV9 Q9NVR2 Q7RTS9;Q7RTS9-2 O94927 Q9H8Y5 Q643R3 Q9UMZ2-5;Q9UMZ2;Q9UMZ2-4;Q9UMZ2-8;Q9UMZ2-3;Q9UMZ2-7;Q9UMZ2-6;Q9UMZ2-9 Q68DK2;Q68DK2-2 P04049-2;P04049 O60524-3;O60524;O60524-4;O60524-5 Q9H0E3;Q9H0E3-3;Q9H0E3-2 Q9Y6X3 Q7KZI7-16;Q7KZI7-15;Q7KZI7-4;Q7KZI7-9;Q7KZI7-5;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-10 Q9BV68;Q9BV68-2 P61978-2 Q9HAU5 P38935 Q15013;Q15013-3 Q8IWR0 Q0VDF9 Q99836;Q99836-6;Q99836-2;Q99836-3 Q96EB1;Q96EB1-3 Q9UBF8-2;Q9UBF8;Q9UBF8-3 Q8IYB5-3;Q8IYB5-2;Q8IYB5 O15504 Q9UGJ1-2;Q9UGJ1 Q9BYJ9 Q6P2C8-2;Q6P2C8 Q96L92;Q96L92-3;Q96L92-2"
481,32,0.3001,148.8,1280,0.09971,0.999994,"Q9BT23 Q13588 Q8NC44 Q14814-4;Q14814;Q14814-6;Q14814-5;Q14814-3;Q14814-2 Q13905-3;Q13905;Q13905-4;Q13905-2 Q9H3S4 Q6ZS81;Q6ZS81-4;Q6ZS81-5 Q9UKI8;Q9UKI8-2;Q9UKI8-5;Q9UKI8-4;Q9UKI8-3 Q96PP9 Q9Y5V0 Q2VPB7 O14979-3;O14979-2 Q9BXL7 Q86US8 P52747-2;P52747-3;P52747 Q8WV92 Q13469-3;Q13469-4;Q13469-2;Q13469;Q13469-5 Q96NY7-2;Q96NY7 P56377 P49796;P49796-6;P49796-4;P49796-1;P49796-9 P04049-2;P04049 O00750 Q9NR33 Q9HBM1 A6NC98;A6NC98-4;A6NC98-2 Q38SD2 P32456 Q9P0R6 Q8IYM9;Q8IYM9-2 Q9NRY4 Q8TAG9;Q8TAG9-2 Q6ZMZ3-2;Q6ZMZ3;Q6ZMZ3-3"
482,13,0.3038,23.69,236.0,0.08293,0.998954,"Q6P2Q9 O75643 P62318-2;P62318 Q15029-2;Q15029;Q15029-3 Q9BUQ8 Q12874 O94906;O94906-2 Q13769 Q15393 O60306 Q9NW64;Q9NW64-2 Q6PJT7;Q6PJT7-5 Q9ULX6;Q9ULX6-2"
483,5,0.3012,3.012,94.99,0.02789,0.735190,"Q8NB78;Q8NB78-2 Q8NEY8 Q6PJT7;Q6PJT7-5 Q8NFD5;Q8NFD5-2;Q8NFD5-3;Q8NFD5-4 Q5T1V6;Q5T1V6-2"
484,5,0.3065,3.065,91.78,0.02923,0.735190,"Q96QD9 Q99856 Q14676;Q14676-2;Q14676-3 Q96P11-2;Q96P11;Q96P11-4;Q96P11-5 Q96KA5-2;Q96KA5"
485,5,0.3153,3.153,45.99,0.05331,0.952654,"Q8IVT2 Q9H6S3;Q9H6S3-3 Q9BRZ2 Q9UEW8-2;Q9UEW8 Q8IUD2;Q8IUD2-3;Q8IUD2-2;Q8IUD2-4;Q8IUD2-5"
486,42,0.3011,259.3,1598,0.1336,1.00000,"Q16594 Q12789;Q12789-3 Q12830;Q12830-4;Q12830-2 Q86VM9 P38432 Q9UIG0;Q9UIG0-2 Q9H9B1;Q9H9B1-3;Q9H9B1-4 Q9UBD5-2 O43913 O95104;O95104-2;O95104-3 Q7Z3K3-5;Q7Z3K3-2;Q7Z3K3;Q7Z3K3-7;Q7Z3K3-3;Q7Z3K3-6 O75182-2;O75182 Q9UHR5-2;Q9UHR5 Q86UE8-2;Q86UE8;Q86UE8-3 Q15047-3;Q15047 Q8IWZ8 P22670 Q96KQ7-2;Q96KQ7 Q8N3X1;Q8N3X1-2 Q8N201 O60563 Q13416 P54278;P54278-3 Q93074-3;Q93074;Q93074-2 Q9UBB9 Q86U86-8;Q86U86;Q86U86-5;Q86U86-7;Q86U86-2;Q86U86-4;Q86U86-9;Q86U86-6 P25490 Q6PD62 Q9HCK8;Q9HCK8-2 O60942;O60942-2;O60942-4;O60942-3 Q9H147 Q8NCF5;Q8NCF5-2;Q8NCF5-3 Q9UBW7 P49848;P49848-3;P49848-2 Q8N5C6;Q8N5C6-2 P49711;P49711-2 Q9Y232-2;Q9Y232;Q9Y232-4 Q8WVC0;Q8WVC0-2 Q96RE7 P49761;P49761-1;P49761-3 Q9BTC8;Q9BTC8-2 Q86UV5;Q86UV5-2;Q86UV5-3"
487,32,0.3015,149.5,285.9,0.2994,0.0387256,"Q9Y5J1 Q5QJE6 Q8NI36 Q15269 Q9H8H0 Q9H583 Q15061 Q9UNX4 Q8NEJ9-2;Q8NEJ9 Q92979 Q9H6R4-4;Q9H6R4;Q9H6R4-2;Q9H6R4-3 Q12788 Q8TED0;Q8TED0-3;Q8TED0-2 Q969X6;Q969X6-3;Q969X6-2 Q9NV31 Q14146 Q9NV06 Q9NYH9 Q5JTH9;Q5JTH9-3;Q5JTH9-2 Q9H0A0;Q9H0A0-2 Q8IWA0 Q9BYG3 Q9BQG0;Q9BQG0-2 Q9BSC4;Q9BSC4-2;Q9BSC4-4 Q96GQ7 O75691 Q9BVI4 Q14690 O43818 Q9Y3T9 Q9NVP1 Q9BVJ6;Q9BVJ6-3;Q9BVJ6-2"
488,4,0.3407,2.044,32.70,0.04782,0.903035,"Q9P2E3 Q9UGJ1-2;Q9UGJ1 Q14997;Q14997-3 Q15800"
489,5,0.3111,3.111,34.69,0.06508,0.735190,"Q5T4S7-3;Q5T4S7;Q5T4S7-4;Q5T4S7-2 P33176 O60763 Q9UI12-2;Q9UI12 Q14C86-2;Q14C86-6;Q14C86-4;Q14C86-5;Q14C86;Q14C86-3"
490,23,0.3005,76.02,433.2,0.1369,0.898706,"Q9BV79;Q9BV79-2 Q99643 P21912 Q92506 Q8N4T8;Q8N4T8-2 Q9P0S9 O14521-2;O14521;O14521-4 Q9NZJ6 Q9HBL7 Q7Z7H5;Q7Z7H5-3 P00846 O14966;O14966-2;O14966-3 O43464;O43464-3;O43464-2 Q06136;Q06136-2 Q9NVH6-7;Q9NVH6;Q9NVH6-8;Q9NVH6-5;Q9NVH6-6;Q9NVH6-4 Q9NSE4 P00167-2;P00167;P00167-3 Q9BUT1;Q9BUT1-2;Q9BUT1-3 Q8NBX0 P35914;P35914-3;P35914-2 Q9UKU7;Q9UKU7-3;Q9UKU7-2 Q96FV2;Q96FV2-2 Q04864-2;Q04864"
491,4,0.3434,2.060,30.89,0.05031,0.667497,"P78357 P13612 Q16563-2 Q93062-3;Q93062-4;Q93062-5;Q93062;Q93062-2"
492,25,0.3009,90.26,421.1,0.1608,0.991496,"P16298;P16298-4;P16298-3;P16298-2 P15498;P15498-2 Q9HBI0;Q9HBI0-2;Q9HBI0-3 P42768 Q7L591 Q9UBW5 P08567 P35236;P35236-2;P35236-3 P14317 Q12851-2;Q12851 P06239;P06239-3 Q13094 O15514 Q9NUG6 O95319-5;O95319-2;O95319;O95319-4;O95319-3 Q06187;Q06187-2 P62491 Q9UI08 Q8TD55;Q8TD55-2 Q53QZ3 B0I1T2;B0I1T2-4 Q8NHG7 Q9P107;Q9P107-2 P42356 P43250-2;P43250-3;P43250"
493,17,0.3019,41.06,763.1,0.04900,0.999963,"Q9UPR3 Q92540-2;Q92540;Q92540-4;Q92540-5 Q9UM13 Q9BW61 Q13951 Q9P2W9 Q9Y312 Q15032-4;Q15032-2;Q15032-3 Q96QU8 Q9UJX2;Q9UJX2-3 P78345 Q9H944;Q9H944-2 Q8IYB5-3;Q8IYB5-2;Q8IYB5 Q9NWU2 Q7L5Y9;Q7L5Y9-3;Q7L5Y9-2;Q7L5Y9-4 Q96LI5;Q96LI5-2 Q96K37"
494,16,0.3028,36.34,443.0,0.07106,0.999364,"Q9Y6D0 P28907 P25774;P25774-2 Q2VPB7 Q8WV92 P49768-2;P49768;P49768-7;P49768-6;P49768-3;P49768-5 O95772-2 Q96RQ9;Q96RQ9-2 P78357 Q8N138-4;Q8N138 A6NC98;A6NC98-4;A6NC98-2 Q9P0S3 O43299 Q6ICB0 Q15629-2;Q15629 P52294"
495,5,0.3097,3.097,58.89,0.04302,0.798302,"P43246 Q13547 P49915;P49915-2 Q9P287;Q9P287-3;Q9P287-4 Q14004"
496,5,0.3037,3.037,60.71,0.04118,0.952654,"Q53ET0 Q8IXM6;Q8IXM6-2 Q9NVT9 Q9NVE7 Q8IXQ6-2;Q8IXQ6-3"
497,5,0.3087,3.087,17.99,0.09934,0.662413,"Q96KP1 Q6P3W7 Q13107-2;Q13107 Q9BZF1;Q9BZF1-3;Q9BZF1-2 Q8IYI6"
498,5,0.3082,3.082,49.50,0.04924,0.798302,"P24666;P24666-4 Q7Z7E8;Q7Z7E8-2 Q969S3 Q9H9C1;Q9H9C1-2 Q96D71-3;Q96D71;Q96D71-4;Q96D71-2"
499,6,0.3108,4.662,135.1,0.03071,0.967224,"Q9ULK4-4;Q9ULK4-3;Q9ULK4-5;Q9ULK4;Q9ULK4-2 Q9UL03-3;Q9UL03 Q9NW08;Q9NW08-2 O14802 Q96CN9 Q9BZE9;Q9BZE9-2;Q9BZE9-3"
500,5,0.3157,3.157,148.0,0.01959,0.417018,"Q86YV9 O00459 Q6NXE6-2;Q6NXE6 Q9UBB6-3;Q9UBB6-2;Q9UBB6 O94822;O94822-3"
501,33,0.3006,158.7,1503,0.09189,1.00000,"Q13588 Q14814-4;Q14814;Q14814-6;Q14814-5;Q14814-3;Q14814-2 Q9UPR3 Q92540-2;Q92540;Q92540-4;Q92540-5 Q2VPB7 Q13951 Q86US8 Q9HB19 Q9BUE0 Q8WV92 Q86YV9 O00459 Q2KHT3 Q7RTS9;Q7RTS9-2 O94927 Q68DK2;Q68DK2-2 P04049-2;P04049 O60524-3;O60524;O60524-4;O60524-5 Q969F9 Q7KZI7-16;Q7KZI7-15;Q7KZI7-4;Q7KZI7-9;Q7KZI7-5;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-10 Q9HAU5 Q15013;Q15013-3 Q8IWR0 Q7Z7A3 Q6YHU6;Q6YHU6-3;Q6YHU6-2 Q147X3;Q147X3-2 Q9UBF8-2;Q9UBF8;Q9UBF8-3 Q6P1N0 Q8IYB5-3;Q8IYB5-2;Q8IYB5 Q9UPY3;Q9UPY3-2 Q8IZH2-2;Q8IZH2 Q14738;Q14738-2;Q14738-3 P46379-2;P46379;P46379-3;P46379-5;P46379-4"
502,5,0.3076,3.076,44.20,0.05370,0.500000,"Q9Y2W1 P82979 Q8WW12 Q9NXV6 Q9NZL9;Q9NZL9-3"
503,5,0.3081,3.081,53.71,0.04613,0.798302,"Q9BPX5 Q9P0R6 Q8TCA0;Q8TCA0-3 Q96AT9;Q96AT9-4;Q96AT9-2 Q9NQ88"
504,6,0.3099,4.649,85.22,0.04564,0.885117,"Q8WUK0;Q8WUK0-2 Q96LD8 Q5T160 P46199 Q9Y2Z9-3;Q9Y2Z9 Q7Z2K6"
505,8,0.3021,8.458,77.18,0.08322,0.886427,"P13010 P62318-2;P62318 Q86U42-2;Q86U42 Q15393 Q05048 P31942-2;P31942;P31942-3 Q13242 Q93009;Q93009-3"
506,9,0.3026,10.89,43.11,0.1513,0.944019,"O14617-5;O14617;O14617-4;O14617-2;O14617-3 O00203 Q9Y2T2 Q96KP1 Q96A65 Q9BXS5;Q9BXS5-2 O00471 Q9NV70;Q9NV70-2 P01116-2"
507,64,0.3003,605.3,3716,0.1361,1.00000,"Q96Q05-3 P48553 Q8N6L1;Q8N6L1-2 Q9BV81 P17152 P60059 Q9BYC8 Q16774 Q96AQ8 Q9BU61;Q9BU61-2 Q5J8M3;Q5J8M3-2;Q5J8M3-3 Q9UKR5 Q9Y5J7 Q9Y5Y5;Q9Y5Y5-2 Q8N511 Q12981;Q12981-1;Q12981-2;Q12981-3 Q6P4A7;Q6P4A7-3 Q8WU76;Q8WU76-2 Q5TEU4 Q15528-2;Q15528 Q969J3;Q969J3-2 Q9NQZ5 Q86VX2-2;Q86VX2 Q9UI14 Q70IA6;Q70IA6-3;Q70IA6-2 Q3ZAQ7 Q969Q5 Q9Y584 Q8IYS2;Q8IYS2-2 Q9UK45 Q96A57-2;Q96A57 O43819 Q9NWU1;Q9NWU1-2 Q8TDH9;Q8TDH9-2;Q8TDH9-3 Q9NZ43;Q9NZ43-2 Q8TBP6 Q15628;Q15628-2 Q9BSF4 P23610 P07919 Q99807;Q99807-2 Q9HBF4;Q9HBF4-3 Q9H082 Q9NRP2 P56962 O14657 Q9Y2V7;Q9Y2V7-2 Q9H4I3;Q9H4I3-2 Q7KZN9-2;Q7KZN9 Q96NT0 Q7L1V2 Q13889 Q96I51 Q9HAS0 Q96S19;Q96S19-3;Q96S19-5 Q9Y303-3;Q9Y303-2 Q8N0W3;Q8N0W3-2 O14893;O14893-3;O14893-2 Q15120;Q15120-2 Q5SWX8;Q5SWX8-4;Q5SWX8-3;Q5SWX8-2 Q9Y2H6-2;Q9Y2H6 O95081;O95081-2 Q15057 Q9BT40-2;Q9BT40"
